Created as New Dataset,Acrylic Red
cm-1,%T
3225.00,98.78
3224.00,98.78
3223.00,98.78
3222.00,98.78
3221.00,98.78
3220.00,98.78
3219.00,98.78
3218.00,98.78
3217.00,98.78
3216.00,98.78
3215.00,98.78
3214.00,98.77
3213.00,98.77
3212.00,98.77
3211.00,98.78
3210.00,98.78
3209.00,98.78
3208.00,98.77
3207.00,98.77
3206.00,98.77
3205.00,98.77
3204.00,98.78
3203.00,98.78
3202.00,98.78
3201.00,98.78
3200.00,98.78
3199.00,98.77
3198.00,98.77
3197.00,98.77
3196.00,98.78
3195.00,98.78
3194.00,98.78
3193.00,98.78
3192.00,98.77
3191.00,98.77
3190.00,98.77
3189.00,98.77
3188.00,98.78
3187.00,98.78
3186.00,98.78
3185.00,98.78
3184.00,98.77
3183.00,98.77
3182.00,98.77
3181.00,98.77
3180.00,98.77
3179.00,98.76
3178.00,98.76
3177.00,98.76
3176.00,98.76
3175.00,98.76
3174.00,98.76
3173.00,98.76
3172.00,98.76
3171.00,98.76
3170.00,98.75
3169.00,98.75
3168.00,98.75
3167.00,98.75
3166.00,98.75
3165.00,98.75
3164.00,98.75
3163.00,98.75
3162.00,98.75
3161.00,98.75
3160.00,98.75
3159.00,98.75
3158.00,98.75
3157.00,98.75
3156.00,98.76
3155.00,98.76
3154.00,98.76
3153.00,98.75
3152.00,98.75
3151.00,98.75
3150.00,98.76
3149.00,98.76
3148.00,98.76
3147.00,98.76
3146.00,98.76
3145.00,98.76
3144.00,98.76
3143.00,98.76
3142.00,98.75
3141.00,98.75
3140.00,98.75
3139.00,98.75
3138.00,98.75
3137.00,98.74
3136.00,98.74
3135.00,98.74
3134.00,98.74
3133.00,98.74
3132.00,98.74
3131.00,98.74
3130.00,98.74
3129.00,98.74
3128.00,98.74
3127.00,98.74
3126.00,98.74
3125.00,98.73
3124.00,98.73
3123.00,98.74
3122.00,98.74
3121.00,98.74
3120.00,98.74
3119.00,98.73
3118.00,98.73
3117.00,98.73
3116.00,98.73
3115.00,98.73
3114.00,98.73
3113.00,98.72
3112.00,98.72
3111.00,98.72
3110.00,98.72
3109.00,98.72
3108.00,98.72
3107.00,98.72
3106.00,98.71
3105.00,98.71
3104.00,98.71
3103.00,98.72
3102.00,98.72
3101.00,98.71
