Created as New Dataset,PE powder (low density) GF 300um
cm-1,%T
2727.00,98.76
2726.00,98.78
2725.00,98.79
2724.00,98.80
2723.00,98.81
2722.00,98.82
2721.00,98.83
2720.00,98.84
2719.00,98.85
2718.00,98.86
2717.00,98.87
2716.00,98.87
2715.00,98.88
2714.00,98.89
2713.00,98.90
2712.00,98.91
2711.00,98.92
2710.00,98.93
2709.00,98.94
2708.00,98.95
2707.00,98.95
2706.00,98.96
2705.00,98.97
2704.00,98.97
2703.00,98.98
2702.00,98.98
2701.00,98.98
2700.00,98.98
2699.00,98.99
2698.00,98.98
2697.00,98.98
2696.00,98.98
2695.00,98.97
2694.00,98.97
2693.00,98.97
2692.00,98.96
2691.00,98.96
2690.00,98.95
2689.00,98.95
2688.00,98.94
2687.00,98.94
2686.00,98.93
2685.00,98.92
2684.00,98.92
2683.00,98.91
2682.00,98.90
2681.00,98.90
2680.00,98.89
2679.00,98.89
2678.00,98.88
2677.00,98.88
2676.00,98.87
2675.00,98.87
2674.00,98.86
2673.00,98.85
2672.00,98.85
2671.00,98.84
2670.00,98.84
2669.00,98.84
2668.00,98.84
2667.00,98.83
2666.00,98.83
2665.00,98.82
2664.00,98.81
2663.00,98.80
2662.00,98.79
2661.00,98.79
2660.00,98.78
2659.00,98.78
2658.00,98.77
2657.00,98.77
2656.00,98.76
2655.00,98.76
2654.00,98.76
2653.00,98.75
2652.00,98.75
2651.00,98.75
2650.00,98.75
2649.00,98.75
2648.00,98.75
2647.00,98.75
2646.00,98.75
2645.00,98.75
2644.00,98.74
2643.00,98.73
2642.00,98.73
2641.00,98.72
2640.00,98.72
2639.00,98.72
2638.00,98.72
2637.00,98.72
2636.00,98.73
2635.00,98.73
2634.00,98.74
2633.00,98.75
2632.00,98.77
2631.00,98.78
2630.00,98.79
2629.00,98.80
2628.00,98.82
2627.00,98.83
2626.00,98.85
2625.00,98.86
2624.00,98.87
2623.00,98.89
2622.00,98.90
2621.00,98.92
2620.00,98.93
2619.00,98.94
2618.00,98.96
2617.00,98.97
2616.00,98.98
2615.00,98.99
2614.00,99.01
2613.00,99.02
2612.00,99.03
2611.00,99.04
2610.00,99.04
2609.00,99.06
2608.00,99.07
2607.00,99.08
2606.00,99.09
2605.00,99.10
2604.00,99.11
2603.00,99.12
2602.00,99.12
2601.00,99.13
2600.00,99.14
2599.00,99.15
2598.00,99.16
2597.00,99.17
2596.00,99.18
2595.00,99.18
2594.00,99.19
2593.00,99.20
2592.00,99.22
2591.00,99.23
2590.00,99.24
2589.00,99.25
2588.00,99.25
2587.00,99.26
2586.00,99.27
2585.00,99.28
2584.00,99.29
2583.00,99.29
2582.00,99.30
2581.00,99.31
2580.00,99.32
2579.00,99.33
2578.00,99.34
2577.00,99.35
2576.00,99.35
2575.00,99.36
2574.00,99.36
2573.00,99.37
2572.00,99.37
2571.00,99.37
2570.00,99.38
2569.00,99.38
2568.00,99.39
2567.00,99.40
2566.00,99.41
2565.00,99.42
2564.00,99.42
2563.00,99.42
2562.00,99.43
2561.00,99.43
2560.00,99.44
2559.00,99.44
2558.00,99.45
2557.00,99.45
2556.00,99.45
2555.00,99.45
2554.00,99.46
2553.00,99.47
2552.00,99.47
2551.00,99.47
2550.00,99.48
2549.00,99.48
2548.00,99.49
2547.00,99.50
2546.00,99.51
2545.00,99.52
2544.00,99.53
2543.00,99.54
2542.00,99.54
2541.00,99.55
2540.00,99.55
2539.00,99.55
2538.00,99.55
2537.00,99.55
2536.00,99.55
2535.00,99.55
2534.00,99.55
2533.00,99.55
2532.00,99.55
2531.00,99.55
2530.00,99.56
2529.00,99.56
2528.00,99.56
2527.00,99.57
2526.00,99.57
2525.00,99.58
2524.00,99.58
2523.00,99.59
2522.00,99.60
2521.00,99.60
2520.00,99.61
2519.00,99.61
2518.00,99.61
2517.00,99.61
2516.00,99.61
2515.00,99.62
2514.00,99.62
2513.00,99.63
2512.00,99.64
2511.00,99.64
2510.00,99.64
2509.00,99.64
2508.00,99.64
2507.00,99.65
2506.00,99.65
2505.00,99.65
2504.00,99.65
2503.00,99.66
2502.00,99.66
2501.00,99.65
2500.00,99.65
2499.00,99.65
2498.00,99.65
2497.00,99.65
2496.00,99.66
2495.00,99.66
2494.00,99.66
2493.00,99.66
2492.00,99.66
2491.00,99.67
2490.00,99.67
2489.00,99.68
2488.00,99.68
2487.00,99.69
2486.00,99.69
2485.00,99.69
2484.00,99.69
2483.00,99.69
2482.00,99.69
2481.00,99.68
2480.00,99.68
2479.00,99.68
2478.00,99.68
2477.00,99.68
2476.00,99.68
2475.00,99.69
2474.00,99.70
2473.00,99.70
2472.00,99.70
2471.00,99.71
2470.00,99.71
2469.00,99.72
2468.00,99.72
2467.00,99.72
2466.00,99.72
2465.00,99.72
2464.00,99.72
2463.00,99.72
2462.00,99.72
2461.00,99.71
2460.00,99.70
